Sample name,sample_num,site,zone,site_zone,2b-RAD sequencer,size_cm2,host_het,sym_type,sym_clade,sym_type_top,bac_shannon,bac_simpson,bac_rich,bac_even,bac_phylo
MNW-B_51,51,MNW,Back reef,MNW-B,HiSeq4000,1244.376267,0.003274586,C3ae.C3bj.C3f.C3.C3p.C3k,C,C3ae,1.430035325,2.580197907,57,0.353702001,18.44512631
MNW-B_53,53,MNW,Back reef,MNW-B,HiSeq4000,371.2935305,0.003113926,,,,,,,,
MNW-B_55,55,MNW,Back reef,MNW-B,HiSeq4000,248.7943722,0.003590492,C3ae.C3bj.C3f.C3.C3p.C3k,C,C3ae,1.979150249,3.769845629,50,0.505914778,13.87568258
MNW-B_56,56,MNW,Back reef,MNW-B,HiSeq4000,440.71708,0.00394954,,,,,,,,
MNW-B_57,57,MNW,Back reef,MNW-B,HiSeq2500,513.5686014,,,,,,,,,
MNW-B_58,58,MNW,Back reef,MNW-B,HiSeq2500,114.2650482,,A3,A,A3,0.467568476,1.201169522,43,0.12431364,14.26058891
MNW-B_59,59,MNW,Back reef,MNW-B,HiSeq2500,514.3854299,0.004168718,,,,,,,,
MNW-B_62,62,MNW,Back reef,MNW-B,HiSeq2500,219.6700019,0.004044212,C3ae.C3bj.C3f.C3.C3p.C3k,C,C3ae,2.349115047,3.832359591,76,0.542428929,15.78966186
MNW-B_63,63,MNW,Back reef,MNW-B,HiSeq2500,213.6367982,0.003922656,C3ae.C3bj.C3f.C3.C3p.C3k,C,C3ae,2.632329411,4.804191695,85,0.592513177,16.51412979
MNW-B_65,65,MNW,Back reef,MNW-B,HiSeq4000,191.0149708,,C3ae.C3bj.C3f.C3.C3p.C3k,C,C3ae,1.570296101,2.14736271,43,0.417498685,11.62539379
MNW-B_69,69,MNW,Back reef,MNW-B,HiSeq4000,551.0105449,0.003888999,,,,,,,,
MNW-B_70,70,MNW,Back reef,MNW-B,HiSeq4000,1361.083854,0.003477971,C3ae.C3bj.C3f.C3.C3p.C3k,C,C3ae,2.384730581,4.699603175,69,0.563219319,17.81236679
MNW-B_71,71,MNW,Back reef,MNW-B,HiSeq4000,171.2003923,,,,,,,,,
MNW-B_72,72,MNW,Back reef,MNW-B,HiSeq4000,105.7645,0.003714975,C3ae.C3bj.C3f.C3.C3p.C3k,C,C3ae,2.079634402,3.453926028,98,0.453576696,26.27753334
MNW-B_73,73,MNW,Back reef,MNW-B,,401.7869019,,C3ae.C3f.C3bj.C3.C3p.C3ch,C,C3ae,1.696916576,3.13962203,61,0.412787313,19.35013641
MNW-B_76,76,MNW,Back reef,MNW-B,HiSeq4000,94.10168607,,,,,2.735345102,4.396080946,99,0.595271765,19.7757231
MNW-B_87,87,MNW,Back reef,MNW-B,HiSeq4000,2377.248518,0.00303128,,,,2.37071066,3.274169444,69,0.559908131,14.64032444
MNW-B_89,89,MNW,Back reef,MNW-B,HiSeq4000,180.3381466,0.004072662,C3ae.C3bj.C3f.C3.C3p.C3k,C,C3ae,,,,,
MNW-B_96,96,MNW,Back reef,MNW-B,,134.6281582,,C3ae.C3bj.C3f.C3.C3p.C3k,C,C3ae,2.366305243,3.253283159,79,0.541557039,21.59446762
