"","id","Observed","Shannon","InvSimpson","row","col","fullname","sample","full_site","island","site","zone","site_zone","is.neg"
"1","A1",57,1.3878561563775,2.52933642029938,"A","1","MNWI_A1","51","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"2","A10",97,2.40119127708138,3.05659973476602,"A","10","MSEI_A10","308","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"3","A11",64,1.15030823233263,1.62505335112719,"A","11","MSEO_A11","600","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"4","A12",167,2.2823977299552,3.30483415389626,"A","12","MSEO_A12","617","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"5","A2",64,1.68158931722818,3.06637081453147,"A","2","MNWI_A2","73","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"6","A3",53,1.63052952172196,2.80511909423551,"A","3","MNWO_A3","113","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"7","A5",46,2.0471046265465,3.03785287972489,"A","5","TI_A5","380","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"8","A6",28,1.25940365726003,1.96867149192625,"A","6","TI_A6","525","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"9","A8",46,1.49509384460488,1.97734306408341,"A","8","TO_A8","408","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"10","A9",58,1.09175661626946,1.61060336788728,"A","9","MSEI_A9","276","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"11","B1",50,1.9737562112201,3.742280329897,"B","1","MNWI_B1","55","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"12","B10",70,2.31189376776927,3.18374323061151,"B","10","MSEI_B10","310","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"13","B11",93,1.91348626371974,2.94383343477969,"B","11","MSEO_B11","604","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"14","B12",39,0.626987541523183,1.3212645009982,"B","12","MSEO_B12","618","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"15","B2",99,2.70428028522479,4.2610408512327,"B","2","MNWI_B2","76","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"16","B3",54,1.99823762930996,3.62747253680554,"B","3","MNWO_B3","115","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"17","B4",44,1.64561338812819,2.71609833745671,"B","4","MNWO_B4","173","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"18","B6",40,2.02612718151315,4.04537726194891,"B","6","TI_B6","526","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"19","B7",27,1.04548053530528,1.52140976583588,"B","7","TO_B7","386","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"20","B9",68,2.47449020331831,5.07320379682584,"B","9","MSEI_B9","297","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"21","C1",46,0.497669987795648,1.20908167541731,"C","1","MNWI_C1","58","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"22","C10",45,1.5243806310704,2.73646464429305,"C","10","MSEI_C10","311","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"23","C11",50,1.13346601499953,1.86716455130783,"C","11","MSEO_C11","607","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"24","C2",69,2.36323639261947,3.27142142750397,"C","2","MNWI_C2","87","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"25","C3",37,1.60962494586783,2.18091717893257,"C","3","MNWO_C3","116","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"26","C4",49,1.63779863912035,1.98767167841913,"C","4","MNWO_C4","174","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"27","C5",43,2.02732777903348,3.28205562554921,"C","5","TI_C5","455","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
