"","row","col","id","fullname","sample","full_site","island","site","zone","site_zone","is.neg"
"A1","A",1,"A1","MNWI_A1","51","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"A10","A",10,"A10","MSEI_A10","308","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"A11","A",11,"A11","MSEO_A11","600","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"A12","A",12,"A12","MSEO_A12","617","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"A2","A",2,"A2","MNWI_A2","73","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"A3","A",3,"A3","MNWO_A3","113","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"A5","A",5,"A5","TI_A5","380","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"A6","A",6,"A6","TI_A6","525","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"A8","A",8,"A8","TO_A8","408","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"A9","A",9,"A9","MSEI_A9","276","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"B1","B",1,"B1","MNWI_B1","55","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"B10","B",10,"B10","MSEI_B10","310","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"B11","B",11,"B11","MSEO_B11","604","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"B12","B",12,"B12","MSEO_B12","618","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"B2","B",2,"B2","MNWI_B2","76","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"B3","B",3,"B3","MNWO_B3","115","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"B4","B",4,"B4","MNWO_B4","173","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"B6","B",6,"B6","TI_B6","526","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"B7","B",7,"B7","TO_B7","386","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"B9","B",9,"B9","MSEI_B9","297","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"C1","C",1,"C1","MNWI_C1","58","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"C10","C",10,"C10","MSEI_C10","311","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"C11","C",11,"C11","MSEO_C11","607","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"C2","C",2,"C2","MNWI_C2","87","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"C3","C",3,"C3","MNWO_C3","116","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"C4","C",4,"C4","MNWO_C4","174","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"C5","C",5,"C5","TI_C5","455","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"C6","C",6,"C6","TI_C6","527","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"C7","C",7,"C7","TO_C7","389","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"C8","C",8,"C8","TO_C8","414","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"C9","C",9,"C9","MSEI_C9","300","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"D1","D",1,"D1","MNWI_D1","62","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"D10","D",10,"D10","MSEI_D10","315","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"D11","D",11,"D11","MSEO_D11","608","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"D12","D",12,"D12","MSEO_D12","626","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"D3","D",3,"D3","MNWO_D3","117","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"D4","D",4,"D4","MNWO_D4","175","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"D5","D",5,"D5","TI_D5","505","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"D6","D",6,"D6","TI_D6","530","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"D7","D",7,"D7","TO_D7","394","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"D8","D",8,"D8","TO_D8","416","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"D9","D",9,"D9","MSEI_D9","301","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"E1","E",1,"E1","MNWI_E1","63","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"E10","E",10,"E10","MSEI_E10","316","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"E11","E",11,"E11","MSEO_E11","609","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"E12","E",12,"E12","MSEO_E12","627","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"E2","E",2,"E2","MNWI_E2","96","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"E3","E",3,"E3","MNWO_E3","130","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"E4","E",4,"E4","MNWO_E4","177","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"E5","E",5,"E5","TI_E5","511","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"E6","E",6,"E6","TI_E6","533","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"E7","E",7,"E7","TO_E7","397","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"E8","E",8,"E8","TO_E8","418","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"E9","E",9,"E9","MSEI_E9","303","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"F1","F",1,"F1","MNWI_F1","65","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"F10","F",10,"F10","MSEI_F10","351","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"F11","F",11,"F11","MSEO_F11","612","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"F12","F",12,"F12","MSEO_F12","630","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"F2","F",2,"F2","MNWI_F2","97","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"F3","F",3,"F3","MNWO_F3","157","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"F4","F",4,"F4","MNWO_F4","178","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"F5","F",5,"F5","TI_F5","513","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"F6","F",6,"F6","TI_F6","539","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"F7","F",7,"F7","TO_F7","400","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"F8","F",8,"F8","TO_F8","421","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"G1","G",1,"G1","MNWI_G1","70","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"G10","G",10,"G10","MSEI_G10","377","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"G11","G",11,"G11","MSEO_G11","614","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"G12","G",12,"G12","MSEO_G12","632","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"G2","G",2,"G2","MNWI_G2","98","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"G3","G",3,"G3","MNWO_G3","158","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"G4","G",4,"G4","MNWO_G4","179","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"G5","G",5,"G5","TI_G5","516","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"G6","G",6,"G6","TI_G6","540","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"G7","G",7,"G7","TO_G7","402","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"G8","G",8,"G8","TO_G8","425","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"H1","H",1,"H1","MNWI_H1","72","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"H10","H",10,"H10","MSEI_H10","378","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"H11","H",11,"H11","MSEO_H11","616","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"H12","H",12,"H12","MSEO_H12","633","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"H2","H",2,"H2","MNWI_H2","101","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"H6","H",6,"H6","TI_H6","545","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"H8","H",8,"H8","TO_H8","427","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"H9","H",9,"H9","MSEI_H9","307","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
