,input,filtered,denoised,merged,tabled,nonchim
A1,35287,34001,33928,33754,20575,20515
A10,55633,52954,52836,52669,30127,30073
A11,59081,56520,56452,56154,44387,43915
A12,38661,36364,36217,35790,26032,25814
A2,28635,27226,27158,27077,22600,22600
A3,55091,52801,52729,52572,42920,42883
A5,22753,19266,19226,19133,9164,9164
A6,17404,16152,16112,16036,10250,10250
A7,22174,21069,20954,20778,14233,14119
A8,13466,12575,12484,12351,10088,10088
A9,71721,68839,68721,68382,57081,56849
B1,17317,16138,16078,15983,10514,10508
B10,29582,28054,28002,27933,18739,18707
B11,55765,53242,53158,52968,37583,37488
B12,38541,36603,36532,36344,30429,30168
B2,23214,21830,21803,21529,16752,16702
B3,18785,17414,17315,17201,14696,14672
B4,22375,21231,21178,21119,13538,13538
B5,3988,3602,3562,3489,2787,2787
B6,15600,14183,14141,14008,7571,7571
B7,15300,14416,14385,14304,10009,10007
B8,10450,9741,9692,9668,6376,6376
B9,23007,21548,21411,21272,16222,16222
C1,29814,28777,28719,28550,26419,26354
C10,40077,38353,38276,38193,21376,21344
C11,48769,46602,46548,46377,35223,35066
C2,12235,11316,11277,11105,9323,9293
C3,33950,32411,32355,32243,13052,13052
C4,23027,21850,21760,21740,11137,11134
C5,25222,23828,23794,23775,14781,14732
C6,28968,27157,27090,27007,21873,21790
C7,18692,17755,17733,17685,10465,10465
C8,14841,13936,13917,13850,8977,8977
C9,38056,36335,36293,36207,28495,28495
D1,20152,19144,19115,19018,14364,14364
D10,39861,37964,37907,37786,20622,20593
D11,26228,24938,24869,24732,14956,14956
D12,18273,15300,15266,15186,9138,9138
D3,24913,23595,23543,23362,13839,13839
D4,35418,33760,33719,33650,30435,30421
D5,20861,19763,19739,19663,14119,14078
D6,24997,23458,23422,23230,17908,17908
D7,20363,18643,18617,18521,12190,12190
D8,20583,19368,19327,19271,11998,11998
D9,38236,36281,36180,35993,19486,19486
E1,29713,28269,28151,27930,18278,18157
E10,38526,36843,36782,36729,30618,30587
E11,28774,27310,27235,26816,18931,17925
E12,34174,32196,32135,31973,26528,26360
E2,15818,14945,14906,14835,10491,10491
E3,21363,20234,20162,20076,17678,17678
E4,25664,23913,23871,23788,17038,16936
E5,33899,32685,32632,32501,30699,30636
E6,25395,23850,23756,23632,16084,16039
E7,21713,20694,20649,20613,12802,12802
E8,36223,34410,34354,34227,30535,30535
E9,84833,81048,80901,80782,40745,40731
F1,18107,17252,17184,17135,12682,12682
F10,42674,40867,40767,40608,25044,25044
F11,48111,46240,46147,45791,38110,37589
F12,47637,45124,45034,44869,32675,32551
F2,36814,34399,34324,34168,28248,28244
F3,26665,25274,25206,25062,16064,16063
F4,30767,29562,29513,29456,21498,21365
F5,28300,27066,26987,26842,18789,18783
F6,26695,25234,25180,25063,13480,13480
F7,27299,26024,25981,25814,13685,13685
F8,18024,16985,16958,16883,8758,8756
F9,394,304,257,244,144,144
G1,28883,27736,27690,27555,20623,20623
G10,34512,33042,32962,32867,21618,21557
G11,47979,45924,45824,45682,30891,30826
G12,47847,45250,45155,45070,19635,19572
G2,29545,27950,27871,27724,16484,16426
G3,31068,29595,29525,29446,17974,17974
G4,26212,25103,25076,25034,19286,19286
G5,29005,27748,27700,27638,19921,19851
G6,25618,24226,24150,24012,14749,14749
G7,36887,33954,33868,33429,21034,20796
G8,27942,26439,26406,26307,18716,18716
G9,37876,36187,36117,35985,8186,8186
H1,39148,37668,37594,37393,29310,29215
H10,22694,21478,21442,21356,10157,10157
H11,35502,33799,33737,33627,23637,23630
H12,33649,31445,31391,31031,24964,24079
H2,23867,22829,22770,22684,14490,14423
H3,23232,22099,22059,21971,7383,7383
H4,9861,9346,9305,9188,5894,5894
H5,9684,9227,9182,9103,4495,4495
H6,15767,14565,14524,14401,9045,9045
H7,40099,38514,38425,38403,20955,20955
H8,16906,15894,15846,15787,10055,10055
H9,17881,17002,16960,16917,10202,10202
N1,49147,46205,46129,45477,22282,22146
N2,52037,44630,44352,41631,17721,17418
N3,38935,37687,37540,37097,14209,12517
N4,2157,2066,1996,1838,1553,1553
