"A1" "A10" "A11" "A12" "A2" "A3" "A5" "A6" "A7" "A8" "A9" "B1" "B10" "B11" "B12" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "C1" "C10" "C11" "C2" "C3" "C4" "C5" "C6" "C7" "C8" "C9" "D1" "D10" "D11" "D12" "D3" "D4" "D5" "D6" "D7" "D8" "D9" "E1" "E10" "E11" "E12" "E2" "E3" "E4" "E5" "E6" "E7" "E8" "E9" "F1" "F10" "F11" "F12" "F2" "F3" "F4" "F5" "F6" "F7" "F8" "G1" "G10" "G11" "G12" "G2" "G3" "G4" "G5" "G6" "G7" "G8" "G9" "H1" "H10" "H11" "H12" "H2" "H3" "H4" "H5" "H6" "H7" "H8" "H9"
"sq1" 4686 10228 2597 2581 6299 3376 3496 6869 1538 6134 2084 3973 8550 7304 2192 7431 2954 7214 1721 3285 6722 4404 5918 1368 4987 5859 4733 5312 6123 6795 1758 6307 4335 4821 6723 6854 5638 5743 5375 2792 5274 3669 7353 5347 7700 7290 5346 1565 4288 5125 4303 4736 2180 1895 5022 5223 11955 6635 4016 1584 4485 13667 6619 3389 5146 5849 7440 5447 6135 2913 5572 6562 4356 5687 3551 7379 4040 6238 4269 3791 4180 5600 3583 2662 2105 3783 2960 1360 3154 2968 4785 4793
"sq2" 6219 628 28057 10762 10318 6191 51 644 2585 22 700 114 61 18461 23924 695 6800 3335 50 547 23 10 105 153 481 23018 109 227 179 50 15194 28 1168 19169 921 8500 1721 224 143 2254 3113 64 6 0 749 144 6435 8746 1426 396 2539 456 25669 9032 26 71 14827 790 1694 4009 14597 31 30 87 7169 173 7 14 190 10020 14296 1266 1702 8277 363 5793 7559 2199 6 127 491 160 1470 1550 11179 93 297 179 2902 0 37 2856
"sq4" 32 387 25 63 65 0 0 6 9 6 41368 85 31 0 113 0 0 10 0 49 0 64 14 22944 10891 13 155 28 24 7 4 9 0 25 14 89 0 0 72 0 0 0 0 0 5 21 14471 11 5 8 104 4214 9 0 6 5 54 36 16234 4379 24 49 0 11701 5 8 11 7 1471 6496 15 0 4626 12 12004 4 9 5538 6 35 10008 16 151 0 4 0 113 0 0 0 0 12
"sq6" 0 145 22 13 0 0 0 0 0 0 0 0 0 58 25 0 0 0 0 0 0 0 0 0 30 78 0 0 0 0 0 0 0 0 0 0 46 44 0 0 0 0 0 0 18 8 26 3217 10063 0 0 0 0 8 0 62 16 71 0 11413 116 8 0 0 0 30 0 0 0 0 453 138 0 32 0 0 0 0 0 0 0 0 1221 0 0 0 0 0 0 0 0 30
"sq7" 69 424 116 153 34 153 127 293 0 239 63 40 512 541 130 104 229 299 103 32 290 187 224 84 118 436 94 284 224 458 93 186 147 349 577 803 130 702 390 101 440 214 57 581 2169 446 519 72 252 207 209 173 38 55 370 332 406 239 188 62 316 1413 130 216 162 193 812 293 161 86 191 355 126 138 261 396 153 203 1008 176 273 149 61 113 30 330 193 266 241 258 402 86
"sq8" 35 89 352 99 80 28 0 66 154 62 0 1953 84 163 0 101 329 0 0 432 86 94 2846 0 1527 84 69 0 0 166 0 0 46 579 86 0 97 65 63 0 56 65 2508 165 78 48 0 0 26 211 82 781 104 50 38 71 29 0 0 103 174 375 56 61 189 114 91 43 0 41 93 418 77 0 20 252 0 101 147 0 0 42 383 109 69 23 19 64 0 51 0 207
"sq9" 0 110 60 0 2171 354 0 1134 0 0 98 55 0 0 113 97 217 0 0 593 0 76 0 0 95 456 110 0 0 32 44 0 0 1039 4 0 96 30 1290 17 0 97 0 0 256 0 50 192 117 4 539 0 15 665 6 45 1980 45 22 159 901 20 2 0 68 0 18 0 67 336 152 0 340 0 0 58 4 424 73 245 983 0 343 17 0 0 0 180 27 38 0 0
"sq10" 68 94 146 56 77 48 124 68 127 517 14 60 354 413 44 200 29 29 144 0 139 74 692 0 42 151 210 0 65 657 0 38 644 62 81 108 199 6 50 34 188 46 127 43 0 88 0 61 8 77 2306 26 100 45 101 0 270 646 57 62 20 314 152 0 154 752 235 0 119 0 119 26 0 156 0 26 125 17 75 34 87 86 279 247 114 131 6 43 176 198 50 0
"sq11" 15 51 0 23 0 11 45 0 106 0 174 0 0 94 23 0 0 0 132 9 0 29 0 0 167 18 0 37 0 114 15 13 57 44 0 59 0 150 30 0 68 3986 0 0 0 0 0 10 31 61 13 0 107 64 0 0 155 0 31 3 23 0 98 0 50 0 0 0 36 12 53 332 0 0 0 290 13 0 22 76 15 7 90 5292 0 0 0 0 34 82 74 46
"sq12" 5 36 108 10 193 449 377 0 0 0 0 0 109 138 0 153 131 326 72 0 0 0 0 0 0 83 0 241 0 702 0 0 0 44 0 0 0 0 106 0 721 0 0 71 0 0 0 0 5 0 66 0 188 49 0 0 0 0 0 0 33 14 2948 5 729 86 0 0 374 0 126 145 0 763 14 0 0 0 44 0 1072 0 360 73 0 443 0 5 283 0 0 4
