"","id","Observed","Shannon","InvSimpson","row","col","fullname","sample","full_site","island","site","zone","site_zone","is.neg"
"1","A1",57,1.43003532475964,2.58019790735479,"A",1,"MNWI_A1",51,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"2","A10",98,2.34289685833889,2.90510494351521,"A",10,"MSEI_A10",308,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"3","A11",67,1.11029478478146,1.57763158099944,"A",11,"MSEO_A11",600,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"4","A12",170,2.26234356216292,3.24825013621694,"A",12,"MSEO_A12",617,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"5","A2",61,1.69691657566929,3.13962203001884,"A",2,"MNWI_A2",73,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"6","A3",53,1.64809918493535,2.84904550305146,"A",3,"MNWO_A3",113,"Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"7","A5",46,2.0495010790292,3.04717959905331,"A",5,"TI_A5",380,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"8","A6",28,1.28150402071972,1.98857840027248,"A",6,"TI_A6",525,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"9","A8",46,1.51527794437048,2.00453115820496,"A",8,"TO_A8",408,"Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"10","A9",58,1.12712870517605,1.65644659799739,"A",9,"MSEI_A9",276,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"11","B1",50,1.97915024923718,3.76984562854821,"B",1,"MNWI_B1",55,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"12","B10",70,2.31035458604486,3.18661687232393,"B",10,"MSEI_B10",310,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"13","B11",96,1.91901203064594,2.91847818824761,"B",11,"MSEO_B11",604,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"14","B12",40,0.623230551811058,1.3015205240374,"B",12,"MSEO_B12",618,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"15","B2",99,2.73534510175077,4.39608094644283,"B",2,"MNWI_B2",76,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"16","B3",53,1.99238363356886,3.62895947422759,"B",3,"MNWO_B3",115,"Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"17","B4",44,1.66385285536668,2.75145184894844,"B",4,"MNWO_B4",173,"Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"18","B6",40,2.01170195940286,3.99551388191614,"B",6,"TI_B6",526,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"19","B7",27,1.04262376465783,1.5218178961984,"B",7,"TO_B7",386,"Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"20","B9",68,2.45687335802769,4.97363610580337,"B",9,"MSEI_B9",297,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"21","C1",43,0.467568476085352,1.20116952164205,"C",1,"MNWI_C1",58,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"22","C10",45,1.5360864311017,2.79395430154849,"C",10,"MSEI_C10",311,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"23","C11",50,1.1632849177716,1.87863086711717,"C",11,"MSEO_C11",607,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"24","C2",69,2.37071065968759,3.27416944354962,"C",2,"MNWI_C2",87,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"25","C3",38,1.62042792840895,2.19453540132709,"C",3,"MNWO_C3",116,"Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"26","C4",48,1.58387530047316,1.94113806844441,"C",4,"MNWO_C4",174,"Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"27","C5",43,2.02545988517592,3.22807003400391,"C",5,"TI_C5",455,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"28","C6",48,1.03718585934089,1.69917465376001,"C",6,"TI_C6",527,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"29","C7",41,1.16241336886739,1.56055349471015,"C",7,"TO_C7",389,"Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"30","C8",44,1.8860256993109,3.01578138628974,"C",8,"TO_C8",414,"Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"31","C9",58,1.29112820854542,2.02168355540297,"C",9,"MSEI_C9",300,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"32","D1",76,2.34911504709009,3.83235959097836,"D",1,"MNWI_D1",62,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"33","D10",42,1.57021286854895,3.09821103298418,"D",10,"MSEI_D10",315,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"34","D11",62,2.17575158720178,3.32557135980571,"D",11,"MSEO_D11",608,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"35","D12",38,1.5889078015424,2.17105373143365,"D",12,"MSEO_D12",626,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"36","D3",71,2.31719006324902,3.7414695176327,"D",3,"MNWO_D3",117,"Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"37","D4",63,1.87115518821473,3.18794670854454,"D",4,"MNWO_D4",175,"Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"38","D5",56,2.09428640479283,3.87624102232731,"D",5,"TI_D5",505,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"39","D6",79,2.44099445877225,5.75286161464448,"D",6,"TI_D6",530,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"40","D7",16,1.1164994366431,2.13798287878394,"D",7,"TO_D7",394,"Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"41","D8",46,1.81514682916221,2.56639958040302,"D",8,"TO_D8",416,"Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"42","D9",48,1.9997186335133,3.19178916389239,"D",9,"MSEI_D9",301,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"43","E1",85,2.63232941098056,4.80419169474736,"E",1,"MNWI_E1",63,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"44","E10",59,1.6804560600996,3.247528406158,"E",10,"MSEI_E10",316,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"45","E11",77,1.73141800714528,2.93259695955915,"E",11,"MSEO_E11",609,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"46","E12",58,1.95556784394495,3.89643826618634,"E",12,"MSEO_E12",627,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"47","E2",79,2.36630524304648,3.25328315852155,"E",2,"MNWI_E2",96,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"48","E3",67,2.60983537855636,7.36735220351678,"E",3,"MNWO_E3",130,"Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
