"","sq1","sq2","sq4","sq6","sq7","sq8","sq9","sq10","sq11","sq12","sq13","sq14","sq15","sq17","sq19","sq20","sq21","sq22","sq23","sq27","sq28","sq29","sq30","sq31","sq32","sq33","sq34","sq36","sq37","sq39","sq40","sq42","sq43","sq44","sq45","sq46","sq47","sq48","sq49","sq50","sq51","sq52","sq53","sq55","sq56","sq58","sq62","sq63","sq65","sq67","sq68","sq69","sq70","sq71","sq72","sq73","sq74","sq76","sq78","sq79","sq82","sq83","sq84","sq86","sq87","sq89","sq91","sq92","sq93","sq95","sq96","sq98","sq99","sq100","sq101","sq102","sq104","sq106","sq108","sq110","sq113","sq114","sq115","sq116","sq118","sq119","sq120","sq123","sq124","sq125","sq127","sq128","sq129","sq133","sq134","sq135","sq136","sq137","sq138","sq139","sq140","sq141","sq146","sq147","sq148","sq149","sq150","sq151","sq152","sq154","sq156","sq157","sq158","sq161","sq163","sq164","sq165","sq166","sq167","sq168","sq169","sq170","sq172","sq173","sq174","sq176","sq177","sq178","sq179","sq180","sq181","sq182","sq183","sq184","sq185","sq186","sq187","sq188","sq190","sq192","sq196","sq197","sq198","sq199","sq201","sq203","sq206","sq207","sq208","sq215","sq216","sq218","sq219","sq220","sq221","sq223","sq225","sq226","sq227","sq229","sq230","sq234","sq235","sq236","sq237","sq238","sq240","sq242","sq244","sq245","sq247","sq248","sq249","sq250","sq252","sq253","sq257","sq259","sq261","sq262","sq263","sq264","sq265","sq266","sq268","sq269","sq271","sq272","sq273","sq275","sq279","sq280","sq282","sq283","sq284","sq285","sq288","sq289","sq291","sq292","sq293","sq296","sq297","sq300","sq301","sq302","sq303","sq304","sq306","sq307","sq308","sq312","sq313","sq315","sq316","sq318","sq319","sq321","sq322","sq323","sq324","sq325","sq327"
"A1",4686,6219,32,0,69,35,0,68,15,5,0,132,28,0,0,0,6,33,26,0,0,0,55,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,55,0,0,0,0,0,0,0,0,0,0,294,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A10",10228,628,387,145,424,89,110,94,51,36,66,132,0,89,27,0,61,87,324,0,0,0,582,0,0,75,0,0,0,26,363,49,0,0,0,0,0,0,0,165,31,39,0,0,0,0,0,78,0,76,0,0,0,75,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,35,33,68,23,0,0,376,0,0,0,0,0,0,0,0,97,0,0,0,0,63,0,169,0,0,0,0,0,24,0,0,0,0,0,0,0,0,58,0,0,0,0,4,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,45,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A11",2597,28057,25,22,116,352,60,146,0,108,546,64,195,0,254,0,164,51,0,0,0,0,195,0,0,40,75,0,58,0,0,0,0,0,32,0,0,0,0,79,135,0,246,47,68,0,0,18,197,0,206,0,0,0,63,0,0,0,0,0,0,0,0,0,79,0,0,0,3,0,25,0,0,0,0,0,0,40,0,23,0,0,0,0,0,0,0,0,26,0,0,14,0,0,0,0,0,0,0,0,0,18,41,0,0,15,0,0,0,0,10,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,107,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0
"A12",2581,10762,63,13,153,99,0,56,23,10,837,128,0,0,412,29,29,52,23,13,0,37,62,0,0,15,276,0,6,0,67,0,0,3,0,0,33,0,0,0,258,0,1459,15,6,0,0,22,92,77,83,0,108,0,57,0,0,10,0,41,0,44,10,83,15,0,19,0,49,0,0,0,0,13,29,0,0,43,0,0,0,0,0,19,0,0,8,0,0,12,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,22,9,13,11,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,15,0,0,0,20,0,0,0,0,0,17,0,0,0
"A2",6299,10318,65,0,34,80,2171,77,0,193,0,0,115,0,0,0,243,0,55,121,0,0,144,128,0,0,0,0,0,76,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,27,0,19,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A3",3376,6191,0,0,153,28,354,48,11,449,0,58,0,0,0,0,161,0,90,21,0,9,0,0,0,45,0,0,99,0,35,0,0,0,0,0,79,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,26,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A5",3496,51,0,0,127,0,0,124,45,377,121,113,0,0,268,0,96,102,18,0,0,0,36,0,345,10,22,0,11,0,143,0,0,0,7,0,0,0,0,31,26,0,0,0,6,0,0,0,0,0,0,141,0,0,0,0,0,7,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"A6",6869,644,6,0,293,66,1134,68,0,0,0,152,87,0,0,20,0,0,53,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,36,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A7",1538,2585,9,0,0,154,0,127,106,0,0,0,59,0,0,65,27,53,28,0,0,0,0,88,0,0,0,0,0,0,0,142,0,0,28,0,80,0,0,0,0,0,0,0,0,0,0,6,0,24,0,0,0,0,0,0,96,0,0,0,0,0,5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"A8",6134,22,6,0,239,62,0,517,0,0,0,171,0,0,0,0,41,314,18,0,0,0,60,0,0,3,0,0,0,0,178,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,21,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
