sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90
51,134642,-0.17737127891957585,0.051633197865059446,-0.02641536687973372,-0.05530625670249941,0.003309164682199606,0.01795076920710809,-0.007337763102524667,-0.010293866596832317,-0.0037429638228365005,-0.00799370057025091,0.005934341198680399,-0.001998453495131872,0.004421335345235951,0.0006981313063463414,-0.006988140756386305,0.0014466308926129592,-0.009423050228183082,-0.011466907687903644,0.00622335353267298,0.0015861266400214096,-0.009527472480476513,-0.009827606624946422,-0.0043836231347393695,0.001623353249182875,0.0010116269157446562,-0.005138407992385458,0.0012096229146158,0.0009978137587651906,-0.008053450535285257,-0.014470677846178242,0.00962144150493726,-0.005062109426696118,-0.0011964433556712211,0.007907145829922243,-0.008416672753135311,-0.0013748317438991226,0.0012796459494115366,-0.0012741474832239418,0.010462862515518456,-0.009256655348137223,0.011338966157059678,0.0029992298302596258,0.004167644224343773,-0.006577784238725439,0.009604624110298691,0.0013038594856773493,-0.003250973589780711,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,134643,-0.15403522995904623,0.031672870338379434,-0.007522200853523702,-0.051233612461788494,-0.0588705839340668,0.027172666708467408,0.035576741152033305,-0.0541877894168375,-0.006532367803177875,-0.019760758607101157,0.0045289089678060696,0.013175784989220224,-0.03179481104241176,0.0030340881640270176,0.001242214610890483,-0.005426311059396873,0.029027076387177452,-0.01144892212016606,-0.01018776311652123,0.014337797696837525,0.030285392561233915,0.0026876254042122205,-0.00487376168090604,-0.0032569788495002546,0.001686665636208418,0.00659377002112036,-0.005852505026565506,-0.004516416698198281,-0.012617522481930219,0.0027310753647971737,-0.00048202053188826715,-0.007493675653707994,0.008331780692627522,-0.006381813289360997,0.004536468311797052,-0.001200827262528368,-0.008300610058722185,0.008082235463054933,-0.0008283040930950568,-0.008741777781916437,-0.0009125480823486694,0.0007991219769980487,0.004448544466448962,0.0005198566928639941,-0.000103671294715968,-0.0007078415881701543,0.001950534115283986,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,134645,-0.1820959443891255,0.040321319991151176,-0.022234451826747253,-0.03766594967379042,-0.021359884827978216,0.015273433414470215,0.000588302816328277,0.017776215308441055,-0.017278869292155268,-0.00536442214339101,-0.044191131078216477,-0.00865114084930356,0.02447169688667556,0.001678663142230073,-0.0268134077969623,-0.0015146851551618024,0.011214764966492338,-0.010413368700997176,0.009875946490365415,0.02440487497016485,0.006409060712477587,0.01289501114175606,0.008174216508111112,0.002421224319728018,0.008640992883691589,0.011806334712781578,0.016993320919618374,-0.019584806801532365,0.00363728650411675,-0.011884031748658637,0.01608800205416052,-0.003751796919410214,-0.008230912048794769,-0.0057909828293056945,-0.0019418971878170095,0.002467711493878791,0.004234115191175582,-0.011957012536811999,-0.001106736120153376,0.0021877848591879997,0.007837825485360397,-0.0006970070559510768,-0.003968029027658114,-0.003192069219972506,-0.0032172590258672607,0.0028079357715644626,-0.001304896735352723,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,134646,-0.14259080133894403,0.02855296684802852,-0.0182664747385013,-0.043949857669701727,-0.0260122787234992,-0.0074150153240849495,-0.021009725150130124,-0.026563409802709863,0.010005552596776724,-0.024922812396036758,0.04790551740851346,-0.00481737512935224,0.011195960228187236,-0.002727198419027435,-0.012216856780212088,0.005828251605867988,-0.005928119102879399,0.017708779128853033,-0.01152482634047777,-0.03391372376320144,-0.0020483449915658374,-0.011529609752884296,0.004184734026386935,0.010433720965622596,0.0010609066435333988,0.005109040247187779,-0.007112925869594683,-0.0012430844071259243,0.005513255481245772,0.005677488423166187,0.0076352236714822145,0.009114559158461537,-0.013415747330517376,0.008439248578393744,0.019188639412913728,0.016544769263314947,-0.003745800351842352,-0.006710891412021115,0.007578322803887419,0.0025826250137628497,0.002592558834037692,0.010584064913710322,0.005016599611507975,-0.0026590550060030652,-0.00043204179399742166,-0.0007095670405305348,-0.000509496959094549,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,134647,-0.13046616318811835,0.020805797174172417,0.006230220875006964,-0.055449288130609384,-0.058660839505976274,-0.0020244667490597382,-0.005921266261370047,-0.006410813575790676,0.01741613143267299,-0.011954371454066307,0.042511845319092384,0.014853394017156574,0.0056722697556363,-0.018969487463865595,-0.007782332518449455,-0.022143898920103485,-0.01833315571992287,0.027392810771683568,-0.007747999335899924,-0.007491956246364602,0.004121112909991376,0.029299388588405514,-0.01827026326062744,0.010210476165365358,-0.005218403380828222,0.00850519723594619,-0.007448678930483758,0.005824713421774913,0.0011273309898753722,0.01548485647292271,-0.0025025982894007494,-0.018745790174893463,0.009411381894015025,-0.002076048950626527,-0.0029552073027688517,0.005706714310328936,0.006576885840263439,0.0032512033260911287,-0.0006494715376827391,-0.00029573908436600994,0.010922522345983229,-0.0014978580120007944,-0.006942664734962605,-0.0005474744026639107,-0.0015592814226031999,0.002088013064086998,-0.0014338565828847332,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,134648,0.03978842299345977,-0.10008648003763958,0.017864146275305488,0.006926695271210448,-0.12240444048957284,-0.051978279697886653,-0.05180727223001668,0.004364898673792767,-0.03624646690112386,-0.06457494955812061,-0.015765142334733417,-0.04929202358040463,0.0010124810462348703,0.030846534970495162,0.01102038706006219,-0.0030162419677216097,-0.040219332113274636,-0.010145706315099912,0.015508071567917418,-0.012793801407809686,-0.029839401469631488,0.02347477040541119,-0.010294395921011308,-0.0015887897796949852,-0.014520752184736046,0.007162968298613659,0.006088784905314191,-0.0025349481213376565,0.008160687644863497,-0.004255618849954507,-0.005056095269072807,0.003036035353348496,0.010020862993694755,0.006991940132642675,-0.0032657977596954983,0.010074527092802469,0.0018121154968861054,-0.0029460571184373096,0.002840178410580365,0.0002309210906913462,-0.0010857037728645839,-0.0012037564255107304,0.00032187153615757265,0.0034905159487929873,0.0012492224421682136,-0.00241381873080234,0.00019730574992519963,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,134649,-0.17429627748551013,0.05148071240799087,-0.021409089887366402,-0.04564324131475282,-0.009881084287454324,0.01700748405008052,0.001965983283636239,0.021614970231259908,-0.008821078336551373,-0.012252485448204873,-0.020319075523816146,0.007405506462665844,0.027334211001207503,-0.0007989796940936215,0.00020550520654267674,-0.016580423836294555,-0.022719012480123462,0.00893373605014967,0.011026297729073568,0.0050944102099319795,0.009007770518920162,0.004896858287644689,0.002640823808049406,-0.0075829576298232304,-0.016286617753332067,0.0021325587142555186,-0.028936736163063026,0.005097693886641169,-0.006154852712268947,-0.0007348389094721674,-0.002523326073799054,0.0009881549410567236,-0.012218593308332264,0.003142830700354051,0.005784889355511565,-0.006771140240891794,-0.00831003525341746,-0.0051441540005303776,-0.0019713534277214493,-0.008159487134401414,0.00958733045082366,-0.008695633431863935,0.005042940111951636,-0.0038847220078891114,-0.005736752817032889,-0.0025799916304024683,0.00013451785899586124,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,134650,-0.10230575382660467,0.010423926712572125,0.02445896565757841,0.058690232918741904,0.02994149978840146,-0.021695398870188544,-0.00021354289387197055,0.010833511440693777,-0.04143110432969892,-0.002898182841928153,0.03011892598033709,0.0014754830443755188,-0.0025057512923834352,-0.009327454301456765,-0.012721115123454188,0.0052336354469369635,-0.009813606555533266,0.0070692759551849544,-0.004686204279372587,-0.012584151137180595,-0.00021294836596869144,-0.007897832368826479,-0.011406413017220738,0.018966612715811414,0.015241611519764716,0.007323520984671536,0.007843803987428085,0.0022679237908809252,-0.0008931724356852559,0.0023675094778715976,-0.004295421409912824,-0.008600400539476596,0.007191352021327358,-0.007335355248333969,-0.011748173682665458,0.006018209031604492,0.0030752113153460284,0.015428774962184472,0.0016662606221935672,-0.0032708120411983283,-0.004482374883027133,0.0009829363590027457,-0.001741666469420487,0.00804431928289716,-0.0009475441868919187,0.005153660904625357,-0.0005026886151043193,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,134653,-0.1434467942001431,0.010672428095551743,-0.017002393685269273,-0.043475646366314215,-0.04956021039742527,-0.00014676810906833423,0.021715633140323605,0.012790326319114757,0.005929989092816744,-0.004372583856844661,0.021940791865023266,-0.010219307153715284,-0.019644660828040214,-0.004583298829741135,-0.002924120167578423,0.023641106705166236,-0.001666188883557904,0.004911127503949929,0.006490232028754755,0.009792007662078987,0.009036498167377265,0.011610826222984105,0.0002536159194482978,-0.0063931793918517695,0.003478209632416204,-0.012511509373053559,-0.010922416436354354,-0.013956042575136293,0.010053145505246622,0.001023582403636182,-0.004637671473144126,0.02372468642789812,-0.0033080680019200743,0.007811523526187785,-0.024622233412550744,0.005532299222060627,-0.00559115089256182,-0.005402721835174159,-0.011275384300615698,-0.0010003302216245237,0.0005529501367014667,0.002882185621557627,0.00028848945310480276,0.005629975978876948,0.0022810540285843665,-0.0026394276689339926,0.0009701505516433026,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,134654,-0.1940158234658706,0.054003672368354946,-0.0257363464221056,-0.04574019615691496,-0.005240402161794345,0.02302709959945372,0.008786230119470138,0.02453414988348486,-0.005256819944818371,0.021073973770785098,-0.03092765527584832,0.0005681485629797591,-0.0048520671606661365,0.008032216277568881,0.018218680297892576,0.00022186789137073397,0.008257827474790988,0.013787039556046725,-0.010150473597655751,0.03619226693811643,-0.03177382428929317,-0.021077876958574326,-0.012705137965271476,-0.02406201632605384,-0.00177890348783921,0.004389594569772966,-0.02809117416435509,0.00019333174746143537,0.0162815812015362,0.003985243835206176,0.002299727577562463,0.0012577096243959272,-0.0005767097131000222,0.010415893626689791,0.0026463234492035965,0.006010198351116531,-0.009068906565725302,0.012531576316142285,-0.0015802097934922656,0.003763096400663707,-0.0030936458909100574,-0.0028924939255220872,-0.00013017281793023663,0.0015323171852306306,0.0007404038244353229,0.0002963611101194292,0.0002497279179334939,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
