sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90
51,134642,-0.2271065594421966,0.04612816907834916,-0.0696489202507681,-0.0319310573513144,0.022989595075278476,0.003990705247589832,0.003997434393964532,-0.008459462276877239,-0.01226052793193083,0.00469381095544182,0.007328560990592097,-0.008087644233585649,0.013184443188062996,0.007298350533820645,-0.010025969961206449,-0.002336326470509178,0.00358364433361567,0.01820906530281525,-0.00585642325240048,-0.007754204953160183,0.0023578693359819344,0.005465807730220096,0.012015096251751864,-0.005800425661520297,0.005066850889808252,0.008332970601682239,0.011408906885488788,-0.017605666480319988,0.01467876977339875,-0.011696526838803645,0.019694851280369314,0.02551088080105289,-0.006591086821279408,0.0032108794134906534,-0.005309116910723355,0.005548123004554717,0.026201771591705652,0.0011773260058018694,-0.0028933716687869183,0.02094581444141511,0.012816815040576109,-0.01072154302466478,0.013677465204281895,-0.009436013344612321,0.005456558000047293,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,134643,-0.18633285643239667,-0.01076961393256569,-0.0957345116352176,0.04100507043699677,-0.025446350541961375,0.02160979327900706,-0.11859068786618217,-0.0028273784640043273,-0.030548886642891713,0.04134887568643707,0.011602133828911544,-0.02719535276443322,-0.0382236814428072,-0.051480058754779956,-0.006706375392878515,-0.030076336195377876,0.022267697888377017,-0.06383206144673173,-0.039513244518955645,-0.007888832916295453,0.0006819909665056442,0.026994262714860637,-0.0158050104219491,0.008386070956222494,-0.0040454478535967365,-0.00837246724994615,-0.004327647983879129,0.009165422976080665,-0.022912030390214777,-0.016019996101354052,0.005269509020373903,-0.0006038402364213576,0.003973243364803533,0.00627479576148985,-0.0015306932531443083,-0.0005089061905236995,0.0026229191297619686,-0.004046558189439569,0.006977901882875802,-0.0029785382650049674,-0.003595941289389313,-0.0030726496666145706,-0.003543849602138174,-0.0030152135009006566,0.000903474688947931,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,134645,-0.2231934255384082,-8.197362163818431e-05,-0.0792929532595065,0.0436528229272023,-0.01426742496420851,-0.05201865594867765,0.013696396711416486,-0.04754663791455268,0.09676855071116544,2.7031335972142782e-05,0.05458477962663487,0.009508771909683992,-0.06380555819903863,0.022663232030613645,0.05151148458316655,-0.00633070506700513,-0.0668036331204773,0.016064369951817346,-0.00017817944095937043,0.001985414185995307,0.035395541317599075,-0.010208598134901076,0.030294688846900716,-0.0011689282572655262,0.036945542268883254,0.007200621618512108,0.01290212199260053,-0.005905040035550619,-0.020021986634436013,0.017400290194827066,0.006694016853789639,0.00176786796472539,-0.023111328084366334,-0.007352249597076371,-0.006444354722766996,0.016309036741963046,0.007845724518760274,-0.016122048713089622,-0.002474093581499338,0.006362307137132308,0.0009710070199278546,-0.007122394303204855,0.004396864863700349,-0.0024746368175370265,-0.001445527697094569,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,134646,-0.18493036002692875,0.016499984613545727,-0.07951901702528309,0.0010986923960447407,-0.007269304634935058,0.05659015786441917,-0.049494092494195854,-0.022697662701781997,-0.024096276089010264,0.02767084978449291,0.027541534474170362,0.01594408755921763,0.028716924754687363,-0.004152698165728028,-0.04322406773491613,-0.019705628697146624,0.014325186579671082,0.01903247482161083,0.03333853807320191,0.0009971698666380428,0.006544550696301113,0.015227027181363473,0.011645053459099965,0.016032867056487148,-0.0007497783629207305,-0.026179875223753087,-0.0349226377525766,-0.02244890782356724,0.009837286725143635,-0.000552307161059119,-0.025958837903107254,0.019477788331804156,-0.021929373681701964,-0.008226249616663432,0.011716713182115777,-0.013417249353507806,0.010485800862571082,0.005463681899583177,-0.009588756139618973,0.017067490953001602,4.18939408203139e-06,0.002156049261114956,0.0060876693307812535,0.00933585855627715,-0.0025357521470519336,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,134647,-0.1442423844616552,-0.037856573307521554,-0.11361860265729526,0.06213217302841048,0.006700884663722957,-0.0030243347141995203,-0.019610752473168125,0.029019805482361466,-0.011798722015267537,0.004849673807045746,-0.016488450330863207,0.06945098352809262,-0.02809974594373663,-0.011057188064717125,-0.07912262079455736,-0.027147992865201743,0.04304598423296342,-0.05024048242841187,0.0011812629904966595,0.015206647997469016,-0.019135540470285352,-0.009001208833327242,-0.002187138927540172,-0.028934023187426036,0.0038435759887075933,0.030702280900076116,0.02663300134159299,0.04265865463022965,0.008047488330084196,0.002490476465279348,0.02185047146092421,0.0047542029726923216,0.005980668001250169,-0.014862382759583966,-0.01026756062937645,-0.005929047335664326,-0.01880148338625147,0.007003607542219338,0.0011260351938682477,0.001546896048805758,0.005414494074616861,0.0051866086344389065,-0.0005577131185901782,0.004461808339001899,0.00028655264035027853,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,134648,0.09512009066347311,-0.09930456620821476,-0.012775219693873543,0.12456752641503854,-0.06234704657314228,0.004595932861632955,-0.01841527982458215,0.017554487511505942,0.06540813322896315,0.07985401903483105,-0.06481563742549298,0.011344396362613264,0.012192407774556624,-0.010690342170788394,-0.03722813023664045,0.0061362593442348306,0.03538761274628663,0.034165995058216624,0.011227338526628055,-0.02325366216035029,0.005799597421506184,0.0008621131313697505,0.007717371146401949,0.02088254186295929,0.022978581133903803,0.015037010165048775,0.008035313564597734,-0.014374986501030286,0.02850396446176597,0.0027266656532195727,-0.008423868963486578,-0.010914896961188482,-0.0030717752306489055,0.006512401790689948,-0.014817414280195383,-0.031786304545134744,-0.0005500241417408313,0.011654484681864826,-0.008148045107824754,-0.011311774856776579,0.0074337638898310954,0.0010697676638650236,0.0007022406398630305,-0.00014215961012062884,-0.004621035204522404,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,134649,-0.2076665996005567,0.026378455881848926,-0.08523816148044744,0.016761865783073218,-0.0018745951513973035,-0.06308094340886763,0.04268192242499731,0.013820751194154064,0.06183376526341679,-0.015537651832695029,-0.014484123413791688,0.004742078283565599,0.012296524376039418,-0.008446934562448643,0.004742682277052017,0.008087300917176668,0.00630159781818122,-0.007303466211033247,0.03274746091462912,0.032654759176912976,-0.011875268420034654,0.05442590714065466,-0.009250143008001541,-0.028832671231958033,-0.015164652163080545,-0.022025122726414045,0.011121032683645227,0.02454782941725824,-0.004748462095807255,-0.004250537872027154,-0.00624280732511432,0.008464260179282743,0.02045408502978218,-0.030797812221184797,-0.01564705902497295,0.001944858012927054,0.013707579026237218,-0.007410013858498969,0.001455341710235381,3.2292130857028674e-06,0.00741652279359873,-0.013674238912248324,-0.0030460988810124476,0.0039771593289310275,0.002570599268328904,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,134650,-0.08761314779390394,0.05081582385823263,0.1372398333111131,-0.002769768755817754,0.007014580258497591,-0.007913006612370243,0.0024223803399563448,0.020415116220536336,-0.028113253914120423,0.020170616378807973,-0.016719016000165954,0.022548454085254774,-0.017843512229887438,0.044771242288165834,-0.03205379107179431,-0.012910052339976514,-0.002950811503385695,0.02145519364517714,-0.008189632386654622,-0.053980251320617685,-0.022315275605414672,-0.015034233988253608,-0.009553465202526557,0.039905692109566765,-0.030947757530919034,0.009130004208329491,-0.0009493396410448963,0.0048311851679218405,-0.020717348667798067,0.01396592496275467,0.0159573808671396,0.024650883245211273,0.0033373384090295195,0.01225123211904155,0.006966567033749478,0.016252933470302537,-0.004646828367812365,-0.01650871621191071,-0.006631214432244619,-0.0019771261584343794,-0.0037963414697747204,0.004034150573709125,-0.0018813331744370995,0.007368660353190903,-0.0029481460840178556,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,134653,-0.12296994380617204,-0.045829894995426175,-0.060947806780947925,0.04393540054600403,-0.05110888299943921,0.006943710599742996,0.04133040191311758,0.030131807032453797,-0.049097221950961695,0.06578173656320281,0.004826104519340271,-0.03485842228750541,0.004645028663119883,-0.004246769780962271,-0.013385314284995755,0.0126022158768055,-0.031938275841312466,-0.011915563898265646,0.005480919705795786,0.03901242476552525,-0.006160509407529661,-0.014871780609118885,0.019584326168052207,0.05663095002245703,-0.031437486304918265,0.030766630632171582,0.006305241360447725,-0.02350788224763231,0.01701180287901275,0.03330701781710432,-0.012344099208458742,-0.013118136661168737,0.014005522031931155,-0.004659789369473438,0.01162874334829068,0.0008881063715221337,-0.002430837254291034,0.0119170062573193,-0.002128509889870276,0.0023068857740315444,0.00411036316729665,-0.011691502435587958,-0.003045619125044948,-0.0012516826263905174,-0.0017779943549882358,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,134654,-0.17396729517326628,0.02966363796166534,-0.030313406938869587,0.009865421350092102,-0.013946213115767046,-0.059659200968619694,0.04632454981243335,-0.024902541691665794,0.015424877729543506,0.009520876284568833,-0.045791462067437824,-0.03303585041010005,0.043395723987088734,-0.06100878931203334,0.04667227686545271,-0.06856898263273022,-0.052203698223972514,-0.014346182541589177,0.022826957201848668,0.02301206390744712,0.004478499086397491,-0.014688999433766404,-0.022924824353643975,-0.01637074859278117,-0.021399779150417447,0.01817400048098763,-0.001117328578804746,-0.0074448430033190295,0.028738855858666718,0.002227599375296113,0.027116465750487154,-0.009698668906763904,0.005711076432703166,0.015134016928186151,-0.01783845839376908,-0.006138454316317581,0.013683832755068293,0.0018637220860502777,7.11221584845656e-05,0.003572889263655797,0.002425116839127215,0.003830196386093176,-0.0014674724122332402,0.00931514952707411,-0.0045520923380879055,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
