"","C3ae.C3bj.C3f.C3.C3p.C3k","A1.A1gf.A1g","A1.A1ee","A3","C3ae.C3f.C3bj.C3.C3p.C3ch","C3ae.C3f.C3.C3bj.C3in.C3p.C3il.C3im","C3ae.C3g.C3f.C3.C3bj","C3ae.C3g.C3f.C3.C3io.C3bj","C3ae.C3f.C3.C3bj","taxa"
"308",2306,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"300",4618,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"97",2589,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"172",5651,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"627",7381,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"96",2750,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"630",4248,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"600",8805,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"62",2880,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"310",3567,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"377",3496,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"51",6444,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"72",1126,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"316",4510,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"304",3493,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"301",2447,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"63",3887,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"305",1833,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"55",5795,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"378",1816,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"626",3914,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
"89",1810,0,0,0,0,0,0,0,0,"C3ae.C3bj.C3f.C3.C3p.C3k"
